Структурное подразделение - полный путь с группирующими	Код функции	Должность /профессия (разряд, категория)	Грейд	ФОТ по рынку
Группирующий узел Волга \ Кировский филиал 	0203 Недвижимость	Начальник отдела	5	195676.91999999998
Группирующий узел Волга \ Кировский филиал 	0203 Недвижимость	Специалист по работе с собственностью 1 категории	2	52061.16416666666
Группирующий узел Волга \ Кировский филиал 	0203 Недвижимость	Специалист по работе с собственностью 2 категории	2	63753.917499999996
Группирующий узел Волга \ Кировский филиал 	0204 АБ - Офис	Руководитель направления по пожарной безопасности	5	196251.12
Группирующий узел Волга \ Кировский филиал 	0205 АБ - Строительство и эксплуатация	Ведущий инженер	3	68012.79333333333
Группирующий узел Волга \ Кировский филиал 	0205 АБ - Строительство и эксплуатация	Инженер 2 категории	2	47468.47
Группирующий узел Волга \ Кировский филиал 	0205 АБ - Строительство и эксплуатация	Инженер по организации эксплуатации и ремонту зданий и сооружений 1 категории	2	58665.88
Группирующий узел Волга \ Кировский филиал 	0205 АБ - Строительство и эксплуатация	Начальник отдела	5	167131.35
Группирующий узел Волга \ Кировский филиал 	0205 АБ - Строительство и эксплуатация	Руководитель направления	5	158357.835
Группирующий узел Волга \ Кировский филиал 	0206 ББ - Безопасность	Ведущий специалист	3	73852.95749999999
Группирующий узел Волга \ Кировский филиал 	0206 ББ - Безопасность	Ведущий специалист по защите информации	3	78701.19249999999
Группирующий узел Волга \ Кировский филиал 	0207 ББ - Государственная тайна	Ведущий специалист	3	104741.50749999999
Группирующий узел Волга \ Кировский филиал 	0207 ББ - Государственная тайна	Начальник отдела	5	185979.465
Группирующий узел Волга \ Кировский филиал 	0207 ББ - Государственная тайна	Специалист 1 категории	2	65321.9525
Группирующий узел Волга \ Кировский филиал 	0209 МПГОЧС	Ведущий специалист	3	81147.05374999999
Группирующий узел Волга \ Кировский филиал 	0209 МПГОЧС	Начальник отдела	5	192942.94499999998
Группирующий узел Волга \ Кировский филиал 	0221 БТИ_ОФИС_КС_Орг_кл_серв	Ведущий специалист	3	71249.81999999999
Группирующий узел Волга \ Кировский филиал 	0221 БТИ_ОФИС_КС_Орг_кл_серв	Главный специалист	4	99779.26999999999
Группирующий узел Волга \ Кировский филиал 	0227 БТИ_ОФИС_ОТ	Главный специалист по охране труда	3	78639.06749999999
Группирующий узел Волга \ Кировский филиал 	0227 БТИ_ОФИС_ОТ	Начальник отдела	5	144005.445
Группирующий узел Волга \ Кировский филиал 	0228 БТИ_ОФИС_Планир	Ведущий инженер электросвязи	3	77986.85916666668
Группирующий узел Волга \ Кировский филиал 	0233 БТИ_ОФИС_СГЭ	Ведущий инженер-энергетик	3	85348.48375
Группирующий узел Волга \ Кировский филиал 	0233 БТИ_ОФИС_СГЭ	Главный энергетик	5	167832.335
Группирующий узел Волга \ Кировский филиал 	0235 БТИ_ОФИС_Строит	Ведущий инженер	3	76817.43166666666
Группирующий узел Волга \ Кировский филиал 	0235 БТИ_ОФИС_Строит	Инженер	2	51973.99
Группирующий узел Волга \ Кировский филиал 	0235 БТИ_ОФИС_Строит	Руководитель направления	4	113596.71125
Группирующий узел Волга \ Кировский филиал 	0237 БТИ_ОФИС_Орг_эксп	Ведущий инженер электросвязи	3	83191.59625
Группирующий узел Волга \ Кировский филиал 	0237 БТИ_ОФИС_Орг_эксп	Руководитель группы	4	129146.025
Группирующий узел Волга \ Кировский филиал 	0261 БТИ_xЦТЭТ_ГЦТЭТ_УДР	Ведущий инженер по ремонту модулей	3	82552.98333333332
Группирующий узел Волга \ Кировский филиал 	0261 БТИ_xЦТЭТ_ГЦТЭТ_УДР	Инженер по ремонту модулей	2	58284.080555555534
Группирующий узел Волга \ Кировский филиал 	0261 БТИ_xЦТЭТ_ГЦТЭТ_УДР	Руководитель группы	4	108840.04000000001
Группирующий узел Волга \ Кировский филиал 	0295 БТИ_ЦУС_РЦУСС_Монит	Диспетчер	2	53623.933333333334
Группирующий узел Волга \ Кировский филиал 	0295 БТИ_ЦУС_РЦУСС_Монит	Руководитель группы	4	94638.3475
Группирующий узел Волга \ Кировский филиал 	0299 БТИ_Транспорт	Ведущий специалист	3	75735.66083333333
Группирующий узел Волга \ Кировский филиал 	0299 БТИ_Транспорт	Водитель автомобиля	1	37969.17728424014
Группирующий узел Волга \ Кировский филиал 	0299 БТИ_Транспорт	Главный специалист	4	120452.835
Группирующий узел Волга \ Кировский филиал 	0299 БТИ_Транспорт	Машинист автогидроподъемника	1	40610.6325
Группирующий узел Волга \ Кировский филиал 	0299 БТИ_Транспорт	Машинист бурильнокрановой машины	1	35640.85783333333
Группирующий узел Волга \ Кировский филиал 	0299 БТИ_Транспорт	Машинист крана автомобильного	1	38284.00083333333
Группирующий узел Волга \ Кировский филиал 	0299 БТИ_Транспорт	Машинист экскаватора	1	39396.96041666667
Группирующий узел Волга \ Кировский филиал 	0299 БТИ_Транспорт	Механик-контролер	1	40000.1675
Группирующий узел Волга \ Кировский филиал 	0299 БТИ_Транспорт	Механик-контролер	2	49621.73333333334
Группирующий узел Волга \ Кировский филиал 	0299 БТИ_Транспорт	Начальник цеха	5	191119.86
Группирующий узел Волга \ Кировский филиал 	0299 БТИ_Транспорт	Слесарь по ремонту средств транспорта и механизации	1	38996.21
Группирующий узел Волга \ Кировский филиал 	0299 БТИ_Транспорт	Специалист	1	35517.295
Группирующий узел Волга \ Кировский филиал 	0299 БТИ_Транспорт	Специалист	2	49578.21625
Группирующий узел Волга \ Кировский филиал 	0299 БТИ_Транспорт	Специалист по безопасности дорожного движения	2	59441.88416666666
